id,image,location,species
1,haliaeetus-leucocephalus.jpg,"Glacier National Park, Montana, USA","Bald Eagle (Haliaeetus leucocephalus)"
2,ardea-herodias.jpg,"Yellowstone National Park, Wyoming, USA","Great Blue Heron (Ardea herodias)"
3,cardinalis-cardinalis.jpg,"Hill Country, Texas, USA","Northern Cardinal (Cardinalis cardinalis)"
4,turdus-migratorius.jpg,"Ann Arbor, Michigan, USA","American Robin (Turdus migratorius)"
5,setophaga-petechia.jpg,"Yellowstone National Park, Wyoming, USA","Yellow Warbler (Setophaga petechia)"
6,antigone-canadensis.jpg,"Bosque del Apache, New Mexico, USA","Sandhill Crane (Antigone canadensis)"
7,fratercula-arctica.jpg,"Machias Seal Island, Maine, USA","Atlantic Puffin (Fratercula arctica)"
8,bubo-scandiacus.jpg,"Barrow, Alaska, USA","Snowy Owl (Bubo scandiacus)"
9,platalea-ajaja.jpg,"Everglades National Park, Florida, USA","Roseate Spoonbill (Platalea ajaja)"
10,calypte-anna.jpg,"Southwest Washington, USA","Anna's Hummingbird (Calypte anna)"
11,geococcyx-californianus.jpg,"Joshua Tree National Park, California, USA","Greater Roadrunner (Geococcyx californianus)"
12,aix-sponsa.jpg,"Upper Midwest, USA","Wood Duck (Aix sponsa)"
